AngularVelocity,KE,PE,TE
0.0524, 54.8573, 9.2608, 64.1180
0.0474, 44.8909, 20.4623, 65.3532
0.0401, 32.1812, 33.3505, 65.5317
0.0310, 19.1665, 45.4172, 64.5837
0.0204, 8.2964, 54.3576, 62.6540
0.0089, 1.5710, 58.4950, 60.0659
-0.0030, 0.1805, 57.0759, 57.2564
-0.0147, 4.3036, 50.3931, 54.6966
-0.0256, 13.0869, 39.7231, 52.8100
-0.0352, 24.8065, 27.0900, 51.8964
-0.0431, 37.1870, 14.8880, 52.0749
-0.0489, 47.8290, 5.4266, 53.2556
-0.0523, 54.6712, 0.4807, 55.1518
-0.0531, 56.3959, 0.9389, 57.3348
-0.0513, 52.6898, 6.6311, 59.3209
-0.0471, 44.2995, 16.3727, 60.6722
-0.0405, 32.8691, 28.2157, 61.0848
-0.0321, 20.6004, 39.8437, 60.4441
-0.0222, 9.8149, 49.0245, 58.8394
-0.0112, 2.5114, 54.0259, 56.5373
0.0002, 0.0010, 53.9261, 53.9270
0.0116, 2.6798, 48.7686, 51.4484
0.0223, 9.9688, 39.5451, 49.5139
0.0320, 20.4268, 28.0087, 48.4356
0.0400, 32.0184, 16.3481, 48.3665
0.0461, 42.4957, 6.7721, 49.2678
0.0499, 49.8288, 1.0826, 50.9114
0.0513, 52.6030, 0.3192, 52.9222
0.0501, 50.2979, 4.5559, 54.8538
0.0466, 43.3859, 12.8949, 56.2807
0.0408, 33.2266, 23.6583, 56.8849
0.0330, 21.7843, 34.7311, 56.5154
0.0237, 11.2344, 43.9772, 55.2116
0.0133, 3.5442, 49.6429, 53.1872
0.0023, 0.1097, 50.6747, 50.7844
-0.0087, 1.5084, 46.9012, 48.4096
-0.0192, 7.4059, 39.0544, 46.4603
-0.0288, 16.6246, 28.6299, 45.2545
-0.0370, 27.3647, 17.6074, 44.9721
-0.0433, 37.5414, 8.0769, 45.6183
-0.0475, 45.1823, 1.8358, 47.0182
-0.0494, 48.8116, 0.0367, 48.8482
-0.0489, 47.7401, 2.9610, 50.7010
-0.0459, 42.1982, 9.9703, 52.1685
-0.0408, 33.2809, 19.6445, 52.9254
-0.0337, 22.7181, 30.0739, 52.7920
-0.0250, 12.5267, 39.2373, 51.7640
-0.0152, 4.6177, 45.3881, 50.0058
-0.0047, 0.4394, 47.3748, 47.8142
0.0060, 0.7178, 44.8431, 45.5609
0.0163, 5.3335, 38.2913, 43.6249
0.0258, 13.3528, 28.9722, 42.3250
0.0341, 23.2036, 18.6582, 41.8618
0.0406, 32.9711, 9.3067, 42.2778
0.0451, 40.7613, 2.6845, 43.4458
0.0475, 45.0682, 0.0233, 45.0915
0.0475, 45.0687, 1.7779, 46.8466
0.0452, 40.7828, 7.5418, 48.3246
0.0407, 33.0617, 16.1375, 49.1992
0.0342, 23.4083, 25.8602, 49.2685
0.0261, 13.6728, 34.8176, 48.4904
0.0169, 5.6899, 41.2947, 46.9846
0.0068, 0.9322, 44.0718, 45.0040
-0.0035, 0.2433, 42.6419, 42.8852
-0.0136, 3.6910, 37.2952, 40.9862
-0.0230, 10.5642, 29.0580, 39.6221
-0.0312, 19.5088, 19.4996, 39.0084
-0.0379, 28.7829, 10.4360, 39.2190
-0.0428, 36.5870, 3.5823, 40.1693
-0.0455, 41.4113, 0.2195, 41.6307
-0.0460, 42.3302, 0.9441, 43.2743
-0.0443, 39.1832, 5.5544, 44.7376
-0.0404, 32.5999, 13.0986, 45.6985
-0.0345, 23.8659, 22.0731, 45.9390
-0.0271, 14.6611, 30.7241, 45.3852
-0.0183, 6.7277, 37.3883, 44.1160
-0.0088, 1.5388, 40.8042, 42.3431
0.0012, 0.0273, 40.3405, 40.3678
0.0110, 2.4217, 36.1036, 38.5253
0.0203, 8.2122, 28.9111, 37.1234
0.0285, 16.2512, 20.1361, 36.3873
0.0353, 24.9692, 11.4475, 36.4167
0.0404, 32.6733, 4.4917, 37.1650
0.0435, 37.8717, 0.5738, 38.4455
0.0445, 39.5648, 0.4030, 39.9679
0.0433, 37.4396, 3.9560, 41.3956
0.0400, 31.9264, 10.4886, 42.4150
0.0347, 24.1055, 18.6921, 42.7975
0.0278, 15.4859, 26.9569, 42.4428
0.0196, 7.7057, 33.6876, 41.3933
0.0105, 2.2177, 37.6044, 39.8221
